""	0	
"wlrbbmqbhcdarzowkkyhiddqscdxrjmowfrxsjybldbefsarcbynecdyggxxpklorellnmpapqfwkhopkmco"	12	
"hnwnkuewhsqmgbbuqcljjivswmdkqtbxixmvtrrbljptnsnfwzqfjmafadrrwsofsbcnuvqhffbsaqxwpqcac"	12	
"hchzvfrkmlnozjk"	11	
"qpxrjxkitzyxacbhhkicqc"	10	
"endtomfgdwdwfcgpxiqvkuytdlcgd"	15	
"whtaciohordtqkvwcsgspqo"	12	
"msboaguwnnyqxnzlgdgwpbtrwblnsadeuguumoqcdrubetokyxhoachwdvmxxrdryxlmndqtukwagmlejuu"	14	
"wcibxubumenmeyatdrmydiajxloghiqfmzhlvihjouvsuyoypayulyeimuotehzriicfskpggkbbipzzrzucxamludfyk"	12	
"ruowzgiooobpple"	7	
"lwphapjnadqhdcnvwdtxjbmypppha"	12	
"xnspusgdhiixqmbfjxjcvudjsuyibyebmwsiqyoygyxymzevypzvjegebeocfuftsxdixtigsieehkchzdflilrjqfnxz"	9	
"qrsvbspk"	5	
"hsenbppkqtpddbuotbbqcwivrfxjujjddntgeiq"	11	
"dgaijvwcyaubwewpjvygehljxe"	9	
"bpiwuqzdzubdubzvafspqpqwuzifwovyddwyvvburczmgyjgfdxvtnunneslsplwuiupfxlzbknhkwppanltcfirjcddsozoyveg"	11	
"rfwcsfmoxeqmrjowrghwlkobmeahkgccnaehhsveymqpxhlrnunyfdzrhbasjeuygafoubutpnimuwfjqsjxvkqdorxxvrwct"	13	
"sneogvbpkxlpgdirbfcriqifpgynkrrefxsnvucftpwctgtwmxnupycfgcuqunublmoiitncklef"	11	
"zbexrampetvhqnddjeqvuygpnkazqfrpjvoaxdpcwmjobmskskfojnewxgxnnofwltwjwnnvbwjckdmeouuzhyvhg"	13	
"wujbqxxpitcvograiddvhrrdsycqhkleewhxtembaqwqwpqhsueb"	10	
"vfgvjwdvjjafqzzxlcxdzncqgjlapopkvxfgvice"	12	
"cmkbljopgtqvvhbgsdvivhesnkqxmwrqidrvmhlubbryktheyentmrobdeyqcrgluaiihveixwjj"	13	
"qopubjguxhxdipfzwswybgfylqvjzhar"	12	
