{}	{}	
{1}	{1}	
{1,2}	{2,1}	
{1,2,3}	{2,1,3}	
{1,2,3,4}	{2,1,4,3}	
{1,2,3,4,5}	{2,1,4,3,5}	
{4,8}	{8,4}	
{2,5,3,4,6,2,2}	{5,2,4,3,2,6,2}	
{0,4,9,2}	{4,0,2,9}	
{4,0,6,2,8}	{0,4,2,6,8}	
{4,1,7,1,6}	{1,4,1,7,6}	
{0,7,2,6,6,8,0,3,4,5}	{7,0,6,2,8,6,3,0,5,4}	
{6}	{6}	
{3,6,4,4,0,8,9,3,4,3}	{6,3,4,4,8,0,3,9,3,4}	
{0,9}	{9,0}	
{0,0,1,9,2,1}	{0,0,9,1,1,2}	
{1,9}	{9,1}	
{1,2}	{2,1}	
{6,2,1,6,8,0}	{2,6,6,1,0,8}	
{2,2,0}	{2,2,0}	
{5,6,9,9}	{6,5,9,9}	
{8,4,9,1,5,8,3,6,1,4}	{4,8,1,9,8,5,6,3,4,1}	
{4,8,0,0,4,2}	{8,4,0,0,2,4}	
{2,0,5,4}	{0,2,4,5}	
{8,6,0,5,5,9}	{6,8,5,0,9,5}	
{4,0,8,3,1}	{0,4,3,8,1}	
{3,6,2,4,3,0,0}	{6,3,4,2,0,3,0}	
{4,77,57,79,24,47,21,42,38,54,26,28,30,85,32,40,62,28,89,37,24,3,51,72,59,49,7,60,44,7,27,48,37,37,27,13,36,49,55,26,55,33,55,85,19,39,25,33,68,14,70,44,70,73,68,29,22,27,89,66,35,69,67,24,58,94,37,46}	{77,4,79,57,47,24,42,21,54,38,28,26,85,30,40,32,28,62,37,89,3,24,72,51,49,59,60,7,7,44,48,27,37,37,13,27,49,36,26,55,33,55,85,55,39,19,33,25,14,68,44,70,73,70,29,68,27,22,66,89,69,35,24,67,94,58,46,37}	
{44,73,51,78,80,88,49,71,66,82,39,32,4,36,2,77,56,83,51,84,25,69,71,46,36,95,4,83,84,2,30,28,75,33,6,7,22,7,79,40,89,70,72,45,6,27,74,63,10,77,99,87,99,70,33,35,65,89,70,49,92,1,77,19,34,36,27,8,43,58,48,85,28,73,30,87,0,57,2,62,86,1,50,85,71,35,73,88,77,43,37,69,96,66,40,31}	{73,44,78,51,88,80,71,49,82,66,32,39,36,4,77,2,83,56,84,51,69,25,46,71,95,36,83,4,2,84,28,30,33,75,7,6,7,22,40,79,70,89,45,72,27,6,63,74,77,10,87,99,70,99,35,33,89,65,49,70,1,92,19,77,36,34,8,27,58,43,85,48,73,28,87,30,57,0,62,2,1,86,85,50,35,71,88,73,43,77,69,37,66,96,31,40}	
{19,39,98}	{39,19,98}	
{40,83,6,13,65,45,65,74,47,27,61,0,29,46,71,65,19,59,42,15,48,63,11,14,55,94,69,75,86,19,52,26,54,10,91,19,55,56,46,54,83,7,54,13,5,25,30,77,36,24,92,36,87,55,51,42,50,72,17,36,43,22,62,97,32,5,68,88,61,14,42,96,21,49,61,79,74,91}	{83,40,13,6,45,65,74,65,27,47,0,61,46,29,65,71,59,19,15,42,63,48,14,11,94,55,75,69,19,86,26,52,10,54,19,91,56,55,54,46,7,83,13,54,25,5,77,30,24,36,36,92,55,87,42,51,72,50,36,17,22,43,97,62,5,32,88,68,14,61,96,42,49,21,79,61,91,74}	
{63,15,0,99,54,55,2,49,57,26,18,93,69,40,7,66,25,12,35,65,25,1,7,22,75,8,83,54,83,27,62,98,94,62,97,49,69,52,50,27,78,68,72,48,61,80,66,86,44,53,51,22,55,10,44,30,19}	{15,63,99,0,55,54,49,2,26,57,93,18,40,69,66,7,12,25,65,35,1,25,22,7,8,75,54,83,27,83,98,62,62,94,49,97,52,69,27,50,68,78,48,72,80,61,86,66,53,44,22,51,10,55,30,44,19}	
{84,54,58,46,52,53,60,1,54,81,53,56,8,32,24,33,32,37,65,98,23,61,4,26,83,59,37,79,89,56,11,25,62,69,23,14,74,83,67,80,64,21,36,25,5,13,10,89,2,75,39,26,36,43,52,20,2,41,99,43,49,62,68,11,32,91,77,58,74,45,39,91,18,27,68,75,92,78,16,95}	{54,84,46,58,53,52,1,60,81,54,56,53,32,8,33,24,37,32,98,65,61,23,26,4,59,83,79,37,56,89,25,11,69,62,14,23,83,74,80,67,21,64,25,36,13,5,89,10,75,2,26,39,43,36,20,52,41,2,43,99,62,49,11,68,91,32,58,77,45,74,91,39,27,18,75,68,78,92,95,16}	
{55,73,41,99,77,61,53,19,13,97,68,75,65,32,59,57,9,70,83,6,9,26,76,88,94,3,33,24,19,28,29,27,1,71,26,30,84,31,49,49,28,70,77,46,2,36,55,63,6,38,22,67,17,50}	{73,55,99,41,61,77,19,53,97,13,75,68,32,65,57,59,70,9,6,83,26,9,88,76,3,94,24,33,28,19,27,29,71,1,30,26,31,84,49,49,70,28,46,77,36,2,63,55,38,6,67,22,50,17}	
