"barfoothefoobarman", ["foo","bar"]	[0,9]
"lingmindraboofooowingdingbarrwingmonkeypoundcake", ["fooo","barr","wing","ding","wing"]	[13]
"a", ["a"]	[0]
"a", ["a","a"]	[]
"aaa", ["a","a"]	[0,1]
"aaa", ["a","b"]	[]
"aaa", ["aa","aa"]	[]
"aaaaaa", ["aaa","aaa"]	[0]
"abababab", ["a","b"]	[0,1,2,3,4,5,6]
"abababab", ["a","b","a"]	[0,2,4]
"abababab", ["ab","ab","ab"]	[0,2]
"abababab", ["ab","ba"]	[]
"abaababbaba", ["ab","ba","ab","ba"]	[1,3]
"abaababbaba", ["ba","ab","ab"]	[1,3]
"mississippi", ["is"]	[1,4]
"mississippi", ["si","is"]	[1,4]
"mississippi", ["mississippis"]	[]
"sheateateseatea", ["sea","tea","ate"]	[6]
"cccbcacaa", ["cc","bc"]	[1]
"bacccaa", ["cc","ba"]	[0]
"acaacc", ["ca","ac"]	[1]
"acbcaabacb", ["aab","cbc"]	[1]
"bccabab", ["ab","cc"]	[1]
"bccbcc", ["bc","cc","cb"]	[0]
"cccab", ["ca","cc"]	[0]
"cbaccbcbbc", ["cb","bc"]	[6]
"babaabba", ["ba","ab"]	[2,4]
"abcabac", ["ab","ac"]	[3]
"bbcaba", ["ba","ca"]	[2]
"bbacaccbab", ["cba","cac"]	[3]
"abaaabbb", ["ab","bb"]	[4]
"bcbba", ["cb","ba"]	[1]
"abbccbc", ["bc","cc","bb"]	[1]
"aacbbbbbc", ["aa","cb"]	[0]
"ccbabbaaab", ["aa","ba","bb"]	[2]
"acccaccaa", ["aa","cc","ca"]	[3]
"caacc", ["ca","ac"]	[0]
"cccbacc", ["ac","cb"]	[2]
"bbbbaccaa", ["ba","cc"]	[3]
"baaacbabba", ["ba","bb"]	[5]
"bbcba", ["ba","bc"]	[1]
"bbcbcbca", ["cb","ca"]	[4]
"abbbbbacbc", ["bc","ac"]	[6]
"bbbccbac", ["bc","cb"]	[2]
"acaccacbb", ["ac","ca","ac"]	[0]
"cccabaacca", ["ca","ba"]	[2]
"bcaababbcc", ["cc","ba","bb"]	[4]
"cbbca", ["bb","ca"]	[1]
"cbaacacbaa", ["cb","aa"]	[0,6]
"ccbcabcc", ["cc","bc"]	[0]
"abccbbbcac", ["bc","ac"]	[6]
"abacbbacca", ["ba","cb"]	[1,3]
"aaac", ["aa","ac"]	[0]
"ccacabab", ["ac","cc","ab"]	[0]
"bbcbcb", ["cb","bb"]	[0]
"bcccbbbcba", ["cc","bb"]	[2]
"cbbabcbac", ["ab","cb"]	[3]
"cccbaacaa", ["baa","ccc"]	[0]
"abaabaaa", ["ba","ab"]	[1]
"cacaaba", ["aa","ac"]	[1]
"bcabbcba", ["abb","cba"]	[2]
"acaaa", ["aa","ca"]	[1]
"aababaacab", ["aa","ab"]	[3]
"acbcaaccba", ["cb","ca"]	[1]
"aaaca", ["ac","aa"]	[0]
"cabbaacb", ["aa","cb"]	[4]
"cccbbbaba", ["bb","cc","cb"]	[0]
"aaabbcccca", ["bc","ab"]	[2]
"caabbbbcbb", ["ab","ca"]	[0]
"aaaccccaab", ["cc","cc"]	[3]
"acabcaa", ["ca","bc"]	[1]
"baaaacbcc", ["bc","ac","aa","ba"]	[0]
"aacaaab", ["ac","aa"]	[1]
"baacbaaccb", ["baa","aac"]	[1]
"aacabacaab", ["aa","ac","ab"]	[3]
"bddbdccbbc", ["dc","cb"]	[4]
"aaccdc", ["cc","aa"]	[0]
"bcdccddad", ["bc","cd","dc"]	[0]
"acbdaacbbb", ["aa","cb"]	[4]
"cadaaab", ["da","ca"]	[0]
"bdacbab", ["ab","da","cb"]	[1]
"bbabcca", ["ba","bc"]	[1]
"dbccbbb", ["bc","cb"]	[1]
"daca", ["ca","da"]	[0]
"aacdadadda", ["ad","cd","aa"]	[0]
"baccba", ["ac","cb"]	[1]
"dcbbcc", ["bb","cc"]	[2]
"bdcbcbcd", ["bd","cb"]	[0]
"acbbcad", ["ad","bc"]	[3]
"dbaccdcadb", ["cd","ca"]	[4]
"dcaddcba", ["dc","ba"]	[4]
"ddaddcdaa", ["dc","ad"]	[2]
"caacaabdda", ["dd","ca","ab"]	[3]
"bdbcbbabb", ["cb","db"]	[1]
"dadcdaad", ["da","dc"]	[0,2]
"babbbc", ["bb","ab"]	[1]
"cacdbc", ["cd","bc"]	[2]
"dddaadab", ["da","ad"]	[2]
"dcacdabcd", ["cd","ab"]	[3,5]
"babbcdcada", ["bc","dc"]	[3]
"bcacccaa", ["ac","bc"]	[0]
"cabab", ["ca","ba"]	[0]
"cccccba", ["cc","ba"]	[3]
"bbcdbdcbbd", ["cd","bb"]	[0]
"ccbbdc", ["bd","cb"]	[1]
"ccaacbbaabcbaddcddbbbddaaaacadbcbbcacdacbc", ["bca","bcb","cda"]	[30]
"cacdadcadcbcaccacdabaaddaaadccbacadcdbdc", ["aad","dab","cac"]	[14]
"cacbcbdabbcaacddcaccdbcdbcbdaabcaddd", ["dca","bca","acd"]	[9]
"cacaabaacccdaadcaabdcddbababbbddcbdcddcbbaacadaadbdcacdaadbbbbad", ["bbd","dcb","dcd"]	[28]
