[2], 1	[]
[1], 1	[[1]]
[1], 2	[]
[1,1], 1	[[1]]
[1,1], 2	[[1,1]]
[1,2], 1	[[1]]
[1,2], 2	[[2]]
[1,2], 3	[[1,2]]
[1,2], 4	[]
[2,3], 5	[[2,3]]
[2,2,2], 2	[[2]]
[2,2,2], 4	[[2,2]]
[2,3,5], 6	[]
[2,3,5], 7	[[2,5]]
[3,5,7], 8	[[3,5]]
[3,5,7], 9	[]
[3,5,7], 10	[[3,7]]
[2,3,6,7], 7	[[7]]
[8,7,4,3], 11	[[3,8],[4,7]]
[2,5,2,1,2], 5	[[1,2,2],[5]]
[3,1,3,5,1,1], 8	[[1,1,1,5],[1,1,3,3],[3,5]]
[10,1,2,7,6,1,5], 8	[[1,1,6],[1,2,5],[1,7],[2,6]]
[3,1,3,5,1,5,2,3,2,5,4], 1	[[1]]
[5,1,5,4,3,3], 4	[[1,3],[4]]
[4,4,2,1,4,2,2,1,3], 6	[[1,1,2,2],[1,1,4],[1,2,3],[2,2,2],[2,4]]
[1,5,2,3,1,5,1,2,4,1,4], 3	[[1,1,1],[1,2],[3]]
[4,4], 6	[]
[4,1,1,4,4,4,4,2,3,5], 10	[[1,1,3,5],[1,1,4,4],[1,2,3,4],[1,4,5],[2,3,5],[2,4,4]]
[5,4,5,1,5,3,1,4,5,5,4], 10	[[1,1,3,5],[1,1,4,4],[1,4,5],[5,5]]
[3,2,4,2], 7	[[2,2,3],[3,4]]
[2,3,4], 5	[[2,3]]
[5,3], 5	[[5]]
[3,4,1], 4	[[1,3],[4]]
[3,2,4,2,4], 4	[[2,2],[4]]
[3,5], 2	[]
[2,4,1,5,5,4,1,2,4], 10	[[1,1,2,2,4],[1,1,4,4],[1,2,2,5],[1,4,5],[2,4,4],[5,5]]
[3,5,4,1,2,2,4,2,2,1,5], 2	[[1,1],[2]]
[4,1,4,1,5,5,5,1,5,5], 8	[[1,1,1,5],[4,4]]
[5,3,3,4,5,2], 8	[[2,3,3],[3,5]]
[2,4,2,5,2], 5	[[5]]
[4,5,3,2,3,3,5,5], 9	[[2,3,4],[3,3,3],[4,5]]
[5,2,1,1,4,2,1], 3	[[1,1,1],[1,2]]
[1,2], 5	[]
