[[1]]	[[1]]
[[1,2],[3,4]]	[[3,1],[4,2]]
[[1,2,3],[4,5,6],[7,8,9]]	[[7,4,1],[8,5,2],[9,6,3]]
[[1,2,3,4],[5,6,7,8],[9,10,11,12],[13,14,15,16]]	[[13,9,5,1],[14,10,6,2],[15,11,7,3],[16,12,8,4]]
[[1,2,3,4,5],[6,7,8,9,10],[11,12,13,14,15],[16,17,18,19,20],[21,22,23,24,25]]	[[21,16,11,6,1],[22,17,12,7,2],[23,18,13,8,3],[24,19,14,9,4],[25,20,15,10,5]]
[[2,29,20,26,16,28],[12,27,9,25,13,21],[32,33,32,2,28,14],[13,14,32,27,22,26],[33,1,20,7,21,7],[4,24,1,6,32,34]]	[[4,33,13,32,12,2],[24,1,14,33,27,29],[1,20,32,32,9,20],[6,7,27,2,25,26],[32,21,22,28,13,16],[34,7,26,14,21,28]]
[[43,39,3,33,37,20,14],[9,18,9,-1,40,22,38],[14,42,3,23,12,14,32],[18,31,45,11,8,-1,31],[28,44,14,23,40,24,13],[29,45,33,45,20,0,45],[12,23,35,32,22,39,8]]	[[12,29,28,18,14,9,43],[23,45,44,31,42,18,39],[35,33,14,45,3,9,3],[32,45,23,11,23,-1,33],[22,20,40,8,12,40,37],[39,0,24,-1,14,22,20],[8,45,13,31,32,38,14]]
[[24,4,38,2,21,18,33,40],[24,37,25,62,37,15,35,36],[42,23,13,58,17,26,19,8],[32,48,9,58,36,18,40,61],[23,16,0,46,35,34,23,60],[9,49,60,47,1,32,20,45],[56,34,40,11,61,60,20,30],[45,30,25,18,49,3,16,10]]	[[45,56,9,23,32,42,24,24],[30,34,49,16,48,23,37,4],[25,40,60,0,9,13,25,38],[18,11,47,46,58,58,62,2],[49,61,1,35,36,17,37,21],[3,60,32,34,18,26,15,18],[16,20,20,23,40,19,35,33],[10,30,45,60,61,8,36,40]]
[[16,49,27,12,54,13,2,69,8],[17,33,47,50,41,8,17,10,31],[29,30,20,39,59,25,21,79,35],[24,42,75,71,75,60,18,7,35],[48,26,24,58,60,75,25,30,36],[50,49,48,1,14,14,22,71,75],[48,28,9,3,69,68,15,61,63],[76,-1,6,31,49,50,73,43,30],[68,69,62,24,39,47,8,57,78]]	[[68,76,48,50,48,24,29,17,16],[69,-1,28,49,26,42,30,33,49],[62,6,9,48,24,75,20,47,27],[24,31,3,1,58,71,39,50,12],[39,49,69,14,60,75,59,41,54],[47,50,68,14,75,60,25,8,13],[8,73,15,22,25,18,21,17,2],[57,43,61,71,30,7,79,10,69],[78,30,63,75,36,35,35,31,8]]
[[11,76,11,53,87,98,35,12,48,53],[33,6,96,29,39,67,16,52,88,54],[2,86,15,80,18,42,59,47,81,21],[74,93,51,86,47,39,85,36,4,34],[42,38,93,39,20,85,7,37,39,48],[92,42,36,9,75,7,4,35,55,86],[10,30,32,14,17,32,54,55,69,59],[42,13,50,37,5,71,23,66,62,15],[15,55,58,4,17,86,12,74,23,20],[13,86,51,46,1,21,80,8,77,2]]	[[13,15,42,10,92,42,74,2,33,11],[86,55,13,30,42,38,93,86,6,76],[51,58,50,32,36,93,51,15,96,11],[46,4,37,14,9,39,86,80,29,53],[1,17,5,17,75,20,47,18,39,87],[21,86,71,32,7,85,39,42,67,98],[80,12,23,54,4,7,85,59,16,35],[8,74,66,55,35,37,36,47,52,12],[77,23,62,69,55,39,4,81,88,48],[2,20,15,59,86,48,34,21,54,53]]
[[105,113,49,43,87,45,-1,108,77,17,105],[118,92,111,92,21,43,90,14,102,102,15],[17,98,108,55,32,33,75,99,48,60,92],[99,14,90,55,14,110,43,33,5,41,36],[117,44,89,71,15,104,53,28,31,102,37],[19,68,70,53,23,50,12,84,53,112,99],[55,78,25,45,1,90,51,44,6,79,89],[6,31,15,112,116,44,54,99,83,74,47],[64,38,72,25,51,67,80,75,78,46,33],[104,92,36,74,54,112,112,44,112,29,76],[8,21,104,84,107,83,78,61,41,23,100]]	[[8,104,64,6,55,19,117,99,17,118,105],[21,92,38,31,78,68,44,14,98,92,113],[104,36,72,15,25,70,89,90,108,111,49],[84,74,25,112,45,53,71,55,55,92,43],[107,54,51,116,1,23,15,14,32,21,87],[83,112,67,44,90,50,104,110,33,43,45],[78,112,80,54,51,12,53,43,75,90,-1],[61,44,75,99,44,84,28,33,99,14,108],[41,112,78,83,6,53,31,5,48,102,77],[23,29,46,74,79,112,102,41,60,102,17],[100,76,33,47,89,99,37,36,92,15,105]]
[[126,96,126,0,42,128,3,0,111,-1,66,37],[123,57,130,22,-1,12,53,40,106,57,51,20],[112,104,80,12,137,116,88,136,85,71,137,129],[56,13,2,41,13,70,79,137,0,83,32,16],[96,103,74,75,17,142,112,2,104,49,15,98],[22,105,91,109,49,102,111,123,116,114,21,131],[57,117,141,59,57,31,92,26,135,23,102,25],[39,72,44,0,122,61,115,18,39,79,128,89],[38,112,69,12,83,91,16,14,82,14,90,140],[62,39,40,70,80,-1,112,120,88,14,137,84],[76,109,103,116,45,104,78,101,73,21,130,29],[129,3,44,68,18,135,66,98,32,107,25,129]]	[[129,76,62,38,39,57,22,96,56,112,123,126],[3,109,39,112,72,117,105,103,13,104,57,96],[44,103,40,69,44,141,91,74,2,80,130,126],[68,116,70,12,0,59,109,75,41,12,22,0],[18,45,80,83,122,57,49,17,13,137,-1,42],[135,104,-1,91,61,31,102,142,70,116,12,128],[66,78,112,16,115,92,111,112,79,88,53,3],[98,101,120,14,18,26,123,2,137,136,40,0],[32,73,88,82,39,135,116,104,0,85,106,111],[107,21,14,14,79,23,114,49,83,71,57,-1],[25,130,137,90,128,102,21,15,32,137,51,66],[129,29,84,140,89,25,131,98,16,129,20,37]]
