"0", "0"	"0"
"0", "1"	"1"
"1", "0"	"1"
"1", "1"	"10"
"11", "1"	"100"
"1", "111"	"1000"
"1010", "1011"	"10101"
"1111", "1111"	"11110"
"100", "110010"	"110110"
"101111", "10"	"110001"
"110010", "10111"	"1001001"
"101", "111"	"1100"
"10101", "110000"	"1000101"
"111", "1010"	"10001"
"10", "10"	"100"
"11", "11"	"110"
"110", "111"	"1101"
"100110", "111111"	"1100101"
"111", "110000"	"110111"
"11", "111101"	"1000000"
"1101", "10"	"1111"
"1111", "1100"	"11011"
"110101", "100000"	"1010101"
"11", "1001"	"1100"
"110110", "1001"	"111111"
"111", "11100"	"100011"
"10", "101"	"111"
"10", "110010"	"110100"
"101", "100"	"1001"
"110100", "101000"	"1011100"
"100", "1110"	"10010"
"11", "101"	"1000"
"100010", "11"	"100101"
"110", "1011"	"10001"
"10", "111110"	"1000000"
"100", "1011"	"1111"
"110111", "101"	"111100"
"11", "110"	"1001"
"110101", "100"	"111001"
"100", "101"	"1001"
"111", "101010"	"110001"
"110", "110010"	"111000"
"10100", "1110"	"100010"
"111", "1110"	"10101"
"1000", "110"	"1110"
"1011", "11101"	"101000"
"111001", "100"	"111101"
"100001", "10"	"100011"
"110010", "101101"	"1011111"
"11", "11100"	"11111"
"11001", "1110"	"100111"
"111101", "101000"	"1100101"
"101", "101111"	"110100"
"101", "11011"	"100000"
"101", "1111"	"10100"
"1000", "11001"	"100001"
"1111", "10111"	"100110"
"100", "11010"	"11110"
"11", "10101"	"11000"
"101", "10101"	"11010"
"110001", "1111"	"1000000"
"10", "101111"	"110001"
"1110", "111001"	"1000111"
"10", "10010"	"10100"
"110", "1110"	"10100"
"1101", "101000"	"110101"
"10", "111111"	"1000001"
"11", "11101"	"100000"
"11111", "1001"	"101000"
"101001", "111"	"110000"
"110", "110000"	"110110"
"11", "1000"	"1011"
"1010", "1110"	"11000"
"11010", "1101"	"100111"
"10", "10011"	"10101"
"110", "10000"	"10110"
"10101", "1001"	"11110"
"111", "10"	"1001"
"10", "111"	"1001"
"110", "1010"	"10000"
"100", "111101"	"1000001"
"111000", "11101"	"1010101"
"1111", "10"	"10001"
"1010", "11000"	"100010"
"11010", "101010"	"1000100"
"1010", "11011"	"100101"
"11", "10100"	"10111"
"1100", "10"	"1110"
"1001", "111"	"10000"
"1111", "11101"	"101100"
"101101", "111110"	"1101011"
"1000", "1010"	"10010"
"10", "1110"	"10000"
"101001", "1101"	"110110"
"1100", "101111"	"111011"
"111", "10001"	"11000"
"111", "110100"	"111011"
"10000", "111010"	"1001010"
"11011", "110"	"100001"
"1110", "1000"	"10110"
"1000", "10"	"1010"
"10010", "11"	"10101"
"1110", "10110"	"100100"
"111110", "1111"	"1001101"
"101", "10000"	"10101"
"1011", "11"	"1110"
"111", "11"	"1010"
"10111", "11"	"11010"
"11", "11010010"	"11010101"
"111", "1100110"	"1101101"
"10000011", "111000"	"10111011"
"1110001", "110100100"	"1000010101"
"11110", "10111"	"110101"
"10011101", "1001010"	"11100111"
"1100", "111010"	"1000110"
"11000010", "10110"	"11011000"
"1", "100"	"101"
"1", "11011"	"11100"
"1111", "1101000100"	"1101010011"
"10000", "1101010"	"1111010"
"10", "101101101"	"101101111"
"10", "1011111010"	"1011111100"
"1", "1101100"	"1101101"
"110", "10"	"1000"
"1111100", "1"	"1111101"
"1110110101", "1110111011"	"11101110000"
"1000", "1110101"	"1111101"
"0", "11100"	"11100"
"11111", "10"	"100001"
"10101", "111110001"	"1000000110"
"1010", "1000"	"10010"
"110", "100101"	"101011"
"1101101", "0"	"1101101"
"1111011", "1"	"1111100"
"1001111", "111001011"	"1000011010"
"111110", "1110000011"	"1111000001"
"110010", "11100"	"1001110"
"110100", "1100101110"	"1101100010"
"11011", "101110100"	"110001111"
"0", "11"	"11"
"111011110", "110011010"	"1101111000"
"1101000", "100011111"	"110000111"
"10001111", "111101"	"11001100"
"1110010011", "101110"	"1111000001"
"0", "110010"	"110010"
"11010", "100"	"11110"
"110110", "1111100"	"10110010"
"1", "10011"	"10100"
"10111101", "11010"	"11010111"
"11011111", "111"	"11100110"
"100011101", "11010100"	"111110001"
"10100", "101010"	"111110"
"1110001", "11110"	"10001111"
"100110", "10000101"	"10101011"
"11", "11011100"	"11011111"
"100110000", "111011101"	"1100001101"
"11000000", "1101111"	"100101111"
"10011100", "1101101010"	"10000000110"
"1110101", "11010"	"10001111"
"10000110", "0"	"10000110"
"100111", "1000010"	"1101001"
"10001100", "10001"	"10011101"
"1110100000", "11"	"1110100011"
"110110110", "100001"	"111010111"
"110100", "11"	"110111"
"1010001", "1"	"1010010"
"1101010000", "10000101"	"1111010101"
"1101", "1010111"	"1100100"
"10111100", "1"	"10111101"
"1011", "1"	"1100"
"100011110", "101"	"100100011"
"10100", "1000"	"11100"
"1001101100", "101111"	"1010011011"
"1010111", "1111001011"	"10000100010"
"101001", "1110011"	"10011100"
"100", "11000"	"11100"
"10", "1001100"	"1001110"
"11", "11111110"	"100000001"
"11110100", "1111110"	"101110010"
"1010", "11000111"	"11010001"
"0", "1110101100"	"1110101100"
"1011001000", "11"	"1011001011"
"11110011", "100111001"	"1000101100"
"0", "1110000100"	"1110000100"
"1111", "101010"	"111001"
"110111", "1011111101"	"1100110100"
"10001000", "1011110000"	"1101111000"
"1100", "0"	"1100"
"10100110", "10"	"10101000"
"10", "0"	"10"
"101000", "111110"	"1100110"
"11111011", "1111110"	"101111001"
"1011001001", "11000"	"1011100001"
"10101100", "111011"	"11100111"
"10100000100100110110010000010101111011011001101110111111111101000000101111001110001111100001101", "110101001011101110001111100110001010100001101011101010000011011011001011101111001100000011011110011"	"110111101100010011000101110110100000011101000101011001000011011000001100011110011010010011000000000"
"1011000110101001000100111010001100011000001001100100111110111011110001001101101", "11110000011110100100010101011000111011000110000001000000100000100001001011011111010"	"11111011100101001101011010010011000111011110001010100101011111011100111100101100111"
"1000111111101100010001101101100000011100111001010110000010100111010111000101010001", "110110101011011101110100000010101111111110011100011011011000110000101010010010010101000110"	"110110110100011101100000010100011101011110111001010100101110110011010001101001011010010111"
"11001000011101111111010011101001111111110000110101000", "1010110011100010000110100011001101110001111001001010001100000100011111011011111"	"1010110011100010000110100110010110001111111000011101110110000100010000010000111"
"110011101101001101010001010100101000110101001011111101101101111011110100001000110010000110", "10011100000001101001000000011100100010110101011011110110100010"	"110011101101001101010001010111000100110110110100111110001010011110101001100100101000101000"
"1011110111100100010110010100000100001010100000000001000110110000010", "1111011001001011110010010010101110011111001100011100101101101010010101101"	"1111100101000011010110101001000010100011010110111100101110110001000101111"
"10111001111000110011110110000001010101110011010010101110", "101000110001011110001010111001001101011011000110110011010011111111011110110"	"101000110001011110100010001000010011111001110110111110000010011001110100100"
"1111011001010001111100100011101110011101100101110011001000110000111001010010100", "1101001000101110000000001001001111011111000111101101100000110001110101000011001101111100"	"1101001010101001001010011000110011111100111011011010001111001010111011001010011000010000"
"11101010001111111111011001111100010010010101101010111111010100111010011", "1000010111010000111111011111111011010000101001010010111010101000001001010110100101110011"	"1000010111010001011100110001111011001011111000110101001101010101100001010001001101000110"
