{}	{}
{0}	{0}
{1,3}	{3,1}
{3,5,8}	{5,3,8}
{-1,0,1,2}	{1,0,2,-1}
{-10,-3,0,5,9}	{0,-3,9,-10,#,5}
{0,1,2,3,4,5}	{3,1,5,0,2,4}
{0,1,2,3,4,5,6}	{3,1,5,0,2,4,6}
{0,1,2,3,4,5,6,7}	{4,2,6,1,3,5,7,0}
{0,1,2,3,4,5,6,7,8}	{4,2,7,1,3,6,8,0,#,#,#,5}
{0,1,2,3,4,5,6,7,8,9}	{5,2,8,1,4,7,9,0,#,3,#,6}
{9,12,14,17,19,23,50,54,67,72,76}	{23,14,67,12,19,54,76,9,#,17,#,50,#,72}
{-93,-89,-85,-76,-56,-53,-20,-10,20,28,41,50,66,70,87,88,91,94}	{28,-56,87,-85,-10,66,91,-89,-76,-20,20,50,70,88,94,-93,#,#,#,-53,#,#,#,41}
{-97,-82,-69,-66,-37,-25,-20,-13,-12,-11,-7,-3,19,33,43,55,77}	{-12,-37,33,-69,-20,-3,55,-82,-66,-25,-13,-7,19,43,77,-97,#,#,#,#,#,#,#,-11}
{-93,-82,-51,-48,-38,2,17,35,48,52,73,87,98}	{17,-48,73,-82,2,48,98,-93,-51,-38,#,35,52,87}
{-97,-88,-64,-51,-49,-40,-34,-28,-17,-16,8,31,32,75,82,89,95}	{-17,-49,75,-64,-34,31,89,-88,-51,-40,-28,8,32,82,95,-97,#,#,#,#,#,#,#,-16}
{-99,-92,-73,-47,-2,7,12,24,25,36,75,89}	{12,-47,36,-92,7,25,89,-99,-73,-2,#,24,#,75}
{-90,-84,-76,-72,-40,-34,-9,8,19,33,50,51,56,68,79,81}	{19,-40,56,-76,-9,50,79,-84,-72,-34,8,33,51,68,81,-90}
{-84,-83,-63,-55,-45,-41,-39,-19,-16,-12,-11,18,22,28,30,64,77,94}	{-12,-45,30,-63,-19,22,77,-83,-55,-39,-16,18,28,64,94,-84,#,#,#,-41,#,#,#,-11}
{-86,-59,-45,-43,-26,-15,-4,-1,4,5,27,57,69,86,92}	{-1,-43,57,-59,-15,5,86,-86,-45,-26,-4,4,27,69,92}
{-44,-37,-25,-19,-13,7,37,38,46,52,60,65,80,84,95}	{38,-19,65,-37,7,52,84,-44,-25,-13,37,46,60,80,95}
