"a", "c", ["a","b","c"]	[["a","c"]]
"hot", "dog", ["hot","dog"]	[]
"hot", "dog", ["hot","dog","dot"]	[["hot","dot","dog"]]
"hot", "dot", ["hot","dot","dog"]	[["hot","dot"]]
"hot", "dog", ["hot","cog","dog","tot","hog","hop","pot","dot"]	[["hot","dot","dog"],["hot","hog","dog"]]
"hot", "dog", ["hot","dog","cog","pot","dot"]	[["hot","dot","dog"]]
"hit", "cog", ["hot","cog","dot","dog","hit","lot","log"]	[["hit","hot","dot","dog","cog"],["hit","hot","lot","log","cog"]]
"hit", "cog", ["hot","hit","cog","dot","dog"]	[["hit","hot","dot","dog","cog"]]
"red", "tax", ["ted","tex","red","tax","tad","den","rex","pee"]	[["red","ted","tad","tax"],["red","ted","tex","tax"],["red","rex","tex","tax"]]
"lost", "cost", ["most","fist","lost","cost","fish"]	[["lost","cost"]]
"lost", "miss", ["most","mist","miss","lost","fist","fish"]	[["lost","most","mist","miss"]]
"leet", "code", ["lest","leet","lose","code","lode","robe","lost"]	[["leet","lest","lost","lose","lode","code"]]
"talk", "tail", ["talk","tons","fall","tail","gale","hall","negs"]	[]
"game", "thee", ["frye","heat","tree","thee","game","free","hell","fame","faye"]	[["game","fame","faye","frye","free","tree","thee"]]
"kiss", "tusk", ["miss","dusk","kiss","musk","tusk","diss","disk","sang","ties","muss"]	[["kiss","diss","disk","dusk","tusk"],["kiss","miss","muss","musk","tusk"]]
"teach", "place", ["peale","wilts","place","fetch","purer","pooch","peace","poach","berra","teach","rheum","peach"]	[["teach","peach","peace","place"]]
"ta", "if", ["ts","sc","ph","ca","jr","hf","to","if","ha","is","io","cf","ta"]	[["ta","ca","cf","if"],["ta","ha","hf","if"],["ta","to","io","if"],["ta","ts","is","if"]]
"qa", "sq", ["si","go","se","cm","so","ph","mt","db","mb","sb","kr","ln","tm","le","av","sm","ar","ci","ca","br","ti","ba","to","ra","fa","yo","ow","sn","ya","cr","po","fe","ho","ma","re","or","rn","au","ur","rh","sr","tc","lt","lo","as","fr","nb","yb","if","pb","ge","th","pm","rb","sh","co","ga","li","ha","hz","no","bi","di","hi","qa","pi","os","uh","wm","an","me","mo","na","la","st","er","sc","ne","mn","mi","am","ex","pt","io","be","fm","ta","tb","ni","mr","pa","he","lr","sq","ye"]	[["qa","ba","be","se","sq"],["qa","ba","bi","si","sq"],["qa","ba","br","sr","sq"],["qa","ca","cm","sm","sq"],["qa","ca","co","so","sq"],["qa","la","ln","sn","sq"],["qa","la","lt","st","sq"],["qa","ma","mb","sb","sq"],["qa","pa","ph","sh","sq"],["qa","ta","tc","sc","sq"],["qa","fa","fe","se","sq"],["qa","ga","ge","se","sq"],["qa","ha","he","se","sq"],["qa","la","le","se","sq"],["qa","ma","me","se","sq"],["qa","na","ne","se","sq"],["qa","ra","re","se","sq"],["qa","ya","ye","se","sq"],["qa","ca","ci","si","sq"],["qa","ha","hi","si","sq"],["qa","la","li","si","sq"],["qa","ma","mi","si","sq"],["qa","na","ni","si","sq"],["qa","pa","pi","si","sq"],["qa","ta","ti","si","sq"],["qa","ca","cr","sr","sq"],["qa","fa","fr","sr","sq"],["qa","la","lr","sr","sq"],["qa","ma","mr","sr","sq"],["qa","fa","fm","sm","sq"],["qa","pa","pm","sm","sq"],["qa","ta","tm","sm","sq"],["qa","ga","go","so","sq"],["qa","ha","ho","so","sq"],["qa","la","lo","so","sq"],["qa","ma","mo","so","sq"],["qa","na","no","so","sq"],["qa","pa","po","so","sq"],["qa","ta","to","so","sq"],["qa","ya","yo","so","sq"],["qa","ma","mn","sn","sq"],["qa","ra","rn","sn","sq"],["qa","ma","mt","st","sq"],["qa","pa","pt","st","sq"],["qa","na","nb","sb","sq"],["qa","pa","pb","sb","sq"],["qa","ra","rb","sb","sq"],["qa","ta","tb","sb","sq"],["qa","ya","yb","sb","sq"],["qa","ra","rh","sh","sq"],["qa","ta","th","sh","sq"]]
"cat", "fin", ["ion","rev","che","ind","lie","wis","oct","ham","jag","ray","nun","ref","wig","jul","ken","mit","eel","paw","per","ola","pat","old","maj","ell","irk","ivy","beg","fan","rap","sun","yak","sat","fit","tom","fin","bug","can","hes","col","pep","tug","ump","arc","fee","lee","ohs","eli","nay","raw","lot","mat","egg","cat","pol","fat","joe","pis","dot","jaw","hat","roe","ada","mac"]	[["cat","fat","fit","fin"],["cat","fat","fan","fin"],["cat","can","fan","fin"]]
