"a"	[["a"]]
"ab"	[["a","b"]]
"bb"	[["b","b"],["bb"]]
"cdd"	[["c","d","d"],["c","dd"]]
"dde"	[["d","d","e"],["dd","e"]]
"efe"	[["e","f","e"],["efe"]]
"fff"	[["f","f","f"],["f","ff"],["ff","f"],["fff"]]
"abbab"	[["a","b","b","a","b"],["a","b","bab"],["a","bb","a","b"],["abba","b"]]
"leet"	[["l","e","e","t"],["l","ee","t"]]
"coder"	[["c","o","d","e","r"]]
"cbbbcc"	[["c","b","b","b","c","c"],["c","b","b","b","cc"],["c","b","bb","c","c"],["c","b","bb","cc"],["c","bb","b","c","c"],["c","bb","b","cc"],["c","bbb","c","c"],["c","bbb","cc"],["cbbbc","c"]]
"ccaacabacb"	[["c","c","a","a","c","a","b","a","c","b"],["c","c","a","a","c","aba","c","b"],["c","c","a","a","cabac","b"],["c","c","a","aca","b","a","c","b"],["c","c","aa","c","a","b","a","c","b"],["c","c","aa","c","aba","c","b"],["c","c","aa","cabac","b"],["c","caac","a","b","a","c","b"],["c","caac","aba","c","b"],["cc","a","a","c","a","b","a","c","b"],["cc","a","a","c","aba","c","b"],["cc","a","a","cabac","b"],["cc","a","aca","b","a","c","b"],["cc","aa","c","a","b","a","c","b"],["cc","aa","c","aba","c","b"],["cc","aa","cabac","b"]]
"racecar"	[["r","a","c","e","c","a","r"],["r","a","cec","a","r"],["r","aceca","r"],["racecar"]]
"danaranad"	[["d","a","n","a","r","a","n","a","d"],["d","a","n","a","r","ana","d"],["d","a","n","ara","n","a","d"],["d","a","naran","a","d"],["d","ana","r","a","n","a","d"],["d","ana","r","ana","d"],["d","anarana","d"],["danaranad"]]
